[2024-07-05 17:40:25] H5 extends#WebView ----- Class Name = [com/onesignal/inAppMessages/internal/display/impl/OSWebView], extends class.
[2024-07-05 17:40:31] Thread Runnable$run ----- Class Name = [kotlinx/coroutines/android/HandlerContext$scheduleResumeAfterDelay$$inlined$Runnable$1], Method Name = [run], add method.
[2024-07-05 17:40:31] Thread Runnable$run ----- Class Name = [kotlinx/coroutines/android/HandlerDispatcherKt$awaitFrame$lambda-3$$inlined$Runnable$1], Method Name = [run], add method.
[2024-07-05 17:40:31] Http HttpURLConnection ----- Class Name = [com/google/android/datatransport/cct/CctTransportBackend], Method Name = [doSend], replace method = [openConnection]
[2024-07-05 17:40:31] Thread Runnable$run ----- Class Name = [com/google/android/datatransport/runtime/SafeLoggingExecutor$SafeLoggingRunnable], Method Name = [run], add method.
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [ensureTransportContext], replace method = [insert]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [getTransportContextId], replace method = [query]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [getNextCallTime], replace method = [rawQuery]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [loadEvents], replace method = [query]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [readPayload], replace method = [query]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [loadMetadata], replace method = [query]
[2024-07-05 17:40:31] Sqlite ----- Class Name = [com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore], Method Name = [lambda$getTimeWindow$22], replace method = [rawQuery]
